"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","gdem_y_a","gdem_y_nom_a","cons_y_nom_a","inv_y_nom_a","exp_y_nom_a","imp_y_nom_a","tb_rat_a","dl_md_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","","","","","","","","","","",""
"1996Y",,,,,,,,,,1.2252540294323655,22.0172432328265160,,,,,,,,,,,8.6571866094239454,,,
"1997Y",,,,,,,,,,-1.3053749716053331,-1.3719052994827896,,,,,,,,,,,25.6695901093148109,,,
"1998Y",,,,,,,,,,6.9168728440152760,3.8565387015822683,,,,,,,,,,,0.0277722011735477,,,
"1999Y",,,,,,,,,,5.3826201402566332,7.0011811447883492,,,,,27.1525446403953872,86.3261943986820484,4.9726612904118603,6.2602965403624378,24.5469522240527169,-18.2866556836902809,11.0051328434309994,,,
"2000Y",8.3570210346787910,12.5865324103209488,4.4002135577810630,38.4210615161342233,0.7575757575757569,24.4604316546762632,12.4367433729051911,2.2082954304427336,3.0944646801294198,24.0896091515730326,16.9107761715439935,8.6589910782114696,,,,26.0044057668047337,86.5384615384615472,5.9482569550887563,6.3609467455621305,24.8520710059171606,-18.4911242603550292,10.0923168109540597,,,
"2001Y",8.4994753410283295,3.5215204024594771,-0.9016343797951132,22.2747617571187781,39.8496240601503757,-5.2023121387283267,-9.8574404512062337,1.5347181239425716,1.6708598023199812,7.3603278601137800,13.1356513050847994,6.1782751457770901,,,,24.9700080862533724,83.4231805929919119,7.5097762803234493,8.4905660377358494,24.2587601078167125,-15.7681940700808632,17.2920065391819548,,,
"2002Y",13.1528046421663483,13.3369330453563695,9.5376829615576142,15.4105033730515437,4.8387096774193505,9.3495934959349611,9.4356757025853444,-1.0444952926544766,-4.7884487426880042,9.9640526674568797,7.6764915814161396,11.4578673783352194,,,,25.1997063989962342,83.6888331242158046,7.9245094102885814,7.0263488080301126,23.7139272271016317,-16.6875784190715173,13.2206983931573632,,,
"2003Y",2.2222222222222143,-5.8599333015721733,6.5475937489875680,22.0514573444091191,20.5128205128205074,-12.6394052044609637,10.2266860645640492,11.7604314525357125,20.0356059013409293,13.5924436203754606,13.1847192590147824,15.7989884616925309,,,,24.0965478348439071,81.9738167170191332,9.0353756294058414,8.4592145015105746,23.5649546827794580,-15.1057401812688816,17.3854394895611222,,,
"2004Y",7.4414715719063551,6.4271255060728727,10.6568748959323223,10.3910300780094556,31.9148936170212671,21.0638297872340452,11.3863054183955583,11.9812066314269821,12.1649309059122430,-0.2468598019755408,6.8212423260043167,6.7863197499848447,,,,23.7055932431177432,80.2653399668324994,9.6277400902155890,11.1111111111111107,24.7927031509121072,-13.6815920398009947,11.0469962386735006,,,
"2005Y",9.3774319066147971,8.8920589633856295,12.5423533322708494,12.4613606182093726,10.9677419354838648,11.7750439367310999,4.5324393306722000,9.2191430738965021,8.3292233098766104,-2.6556089785848336,-3.3903176583897965,-6.4001768463060298,,,0.2163072207554288,24.1483801003194429,79.8611111111111143,9.8099532330138892,11.4583333333333321,25.2083333333333321,-13.7500000000000000,20.9797346320247016,,,
"2006Y",28.2817502668089702,29.6069868995633207,26.2170060283113244,38.5915588543473973,17.4418604651162781,24.8427672955974792,11.3418954114913539,8.8196728989983093,0.5844091138126686,-0.6716101601812685,-0.9793969237315958,-9.4906062785569265,9.4395322330479683,0.6043478690877711,0.1935944958132324,21.5213937155980339,80.3386127799016947,9.6091360495576179,10.8683779355543422,22.3375204806116905,-11.5007081981329655,25.4120226045863546,,,
"2007Y",7.8764870254882879,2.9568914118439564,11.8847793726487190,22.7796467265851703,44.8195981246096551,13.0180357940791396,7.6832992970224723,9.1185191690844221,11.2495478285585051,-0.8886382806811532,-0.9020133410099523,-2.7941901356362546,10.6117577987457423,1.9353711723850378,0.2002233065673230,20.8326383475527628,77.6829815895823970,10.1058439155815005,13.6057476425684776,22.2721149528513678,-8.6022289337224223,27.3909949782803324,,,
"2008Y",11.1859773840485559,7.8936669777732291,6.7054147649024536,43.3620192995859242,-11.8239762342540580,-2.9635743045795944,22.1904519160565314,15.3805292334182493,17.4461079755044253,1.7891698220227292,0.1449393021782069,-2.7671986699841442,10.3250348055931767,0.3990656533699661,0.1928668306918115,19.8448386869043425,81.4331097776208992,13.7944129897634991,11.2954465231203667,26.3325097070243537,-14.9525458658199817,14.2709288281297404,,,
"2009Y",6.3644999171072527,9.8960719633691134,9.5522960484758741,4.4260506435347073,-2.6543224415239122,18.4956543178784614,5.7862746365412887,10.6680108936816005,3.4809114379372943,2.7888111143705485,3.8405769167995656,-9.1083115219885862,11.3139472653095279,0.9662630110199051,0.1975879567618749,20.0740188691811383,82.3200992555831306,13.7038967635732014,10.3598014888337477,26.4267990074441670,-16.1044631198711485,5.8891129219402956,,,
"2010Y",7.2981932203564917,5.5828109550740859,12.7096022173455623,4.3498915558310811,8.6775230502624066,2.2912456162012624,0.1925403598531661,2.3294607309852164,1.8962159919711112,3.9585162375715299,2.7262460411359268,3.3548644358000033,12.4492283372112400,0.3076052262027389,0.2079192799255281,20.9427848517581197,82.1668533034714414,12.6798355289809628,10.7502799552071657,26.5397536394176967,-15.7990947066474483,19.3410511033266630,,,
"2011Y",7.9580484082264693,9.0189867989079247,10.1695174889473101,2.7948022825456968,23.7281321646305585,17.9630091581723725,7.8266488641069332,5.6563141470333029,7.0705970386525614,1.6799300465305977,2.8278938625752810,3.2686566103218295,12.1508692514249717,1.9394895758181618,0.2121337368603601,20.8579188213642972,81.4707305273342968,12.0641905158393783,12.6753749395258826,27.0682148040638602,-14.4011954171343035,23.7117006319449501,,,
"2012Y",8.6975733175011172,6.5312626919298449,10.4164572353079379,38.6458148758631523,9.1403295737955794,18.9436716483826402,4.5961448522268800,6.3168319351266327,3.9625493668033158,4.3111749789776388,2.4604014521441844,-2.3435781628433405,9.7215315082812470,2.1772164526242479,0.2121257184917060,20.8000585676036565,80.2891771209865936,15.4533966737316586,11.9923453115032963,28.5562406974271781,-16.5714300871403175,13.5097727531996270,,,
