x1q,x2q,x3q,x4q,x5q,x6q,x7q,x8q
0.514738788140235,0.634975207041418,0.629738801560612,0.757249750536345,0.62813750265712,0.569501402749172,0.854292821568737,0.196893692176192
0.847966351443343,0.691689395610547,0.661845490013892,0.8925440446311,0.66900986477016,1.69220095048458,0.816158851736698,0.173663103623872
0.597246281102347,0.587160669988142,0.8396489433055,0.698630630426485,0.599115504786341,0.950713831608478,0.905759008479898,0.155401384394755
0.661506971835706,0.613601488069641,0.7230568094915,0.728443308737816,0.628195161878399,0.786209716407596,0.89498719475875,0
0.827805972814259,0.612442234903794,0.629072588455136,0.782517331323344,0.95646184966983,0.709602969122611,0.778689230058213,9.99198728926937e-15
0.621648874657997,0.727134890366131,0.53853054462965,0.720707858791225,0.853848327814222,0.749490885441318,0.704328682657722,1.15213157474342e-14
0.966783936633292,0.6933306792517,0.684185366532188,0.672184965420994,0.868300348617188,0.718619667837864,0.752171515033121,3.08471836330361e-14
0.527587965196791,0.640472374740585,0.779822319203917,0.809997050481545,0.791446959041601,0.719537643684349,0.747733427464656,2.7147126382603e-14
0.578440273264123,0.554115032067797,0.81906495501265,0.730616237610266,0.912344378851399,0.720676828829881,0.898780319903572,2.69891092774913e-14
0.653602405189026,0.733857265118288,1.12443943952017,0.735735289787748,0.848691222376348,0.64890239295453,0.695648296185908,2.46251308125328e-14
0.67978856218272,0.603774560012297,2.26897087034281,0.722474144259952,0.819401452767719,0.608751021469652,0.727704799862102,2.7058612826348e-14
0.550320537884513,0.64663236160336,2.47199720777075,0.769232478079933,0.853791093245248,0.613938808714463,0.782967215032107,0
0.660415602058236,0.606858346393891,2.37171858318329,0.766503408295957,0.852796003739741,0.602342387785017,0.74381053056026,6.28487646560784e-15
0.805280518704797,2.15234929681387,2.27079712429695,0.750312684466041,0.811751352716889,0.599752175286994,0.702402804091504,7.20391002532283e-15
0.590879146051605,1.27524713571444,2.28604791109036,0.642977156616711,0.810385067664423,0.610303129182927,1.03361349388257,6.88900794697369e-15
0.60093584225972,0.855192015461763,2.22435627040722,0.922284175286375,0.709029994855496,0.642547810593231,1.04630293243156,6.09512127945885e-15
0.6475776304093,0.81394022060433,2.1145799333915,0.88769131901593,0.699599954316516,0.707716312610782,1.00058583219317,5.71765338951581e-15
0.676965094309332,0.9185177935691,1.99636898863463,0.828834461005562,0.617313962961624,0.935662965076971,0.966275377214791,6.27403712361306e-15
0.811112262897885,0.942511226356123,0.514215215473623,0.823439020487539,0.56028820908647,0.822443569684131,0.946770617760638,5.77234887079725e-15
0.625105761292972,1.01861109285486,0.503996824882843,0.838223976422859,0.547055577834669,0.749630947602679,0.956930184181883,2.70607404001093
1.00232282606464,0.783315614111012,0.4800187878894,0.768635046860898,0.691579069091869,0.673889727775076,0.961914127028092,1.41114520094893
0.774095927535912,0.86069779701208,0.414976138546001,0.72615868615642,0.719398773490693,0.744175306906302,0.983261267870741,0.978161686722101
0.760537030741775,0.643347334118113,0.345341438546948,0.731570251172373,0.650908244095319,0.608122024489883,0.676114738250026,0.756676219225636
0.847769308175394,0.650671663074486,0.288802994582948,0.88079912279295,0.65377605238912,0.574760719155524,0.361997674406283,0.624922649814272
0.490655604858864,0.560300164430606,0.257791080682595,0.853959583670275,0.618723873231558,0.497013944272562,0.260973436506774,0.541108895309108
0.739026044078729,0.562499140371935,0.243551491314653,0.821652344652041,0.578450497764806,1.09803266938528,0.210158883717622,0.479666119475134
0.776965559323041,0.57464089374898,1.37022963710837,0.816323079831755,0.574451992906652,0.877139603080866,0.176448983482827,0.427961165143544
0.597787209744046,0.627211004910235,0.881693780299356,0.860174478529598,0.591371121408245,0.759304693074483,0.152434909183662,0.683858206458943
0.691558340760479,0.638685661202122,0.747097814343179,0.774555879727619,1.0980326693853,0.705041085979307,0.133036478215385,0.543064845067926
0.611594570246472,0.837273713884668,0.800490411670801,0.765168717468561,0.877139603080877,0.673743969239212,0.116870289801081,0.462658215482276
0.587522880066395,0.736750424859691,0.842620917616705,0.599272078841584,0.759304693074489,0.63328919055131,0.939788983889827,0.423815577677937
0.602771602519548,0.742274403185297,0.800104996424994,0.86794510491988,0.705041085979308,0.598878555292101,0.491776900506647,0.599307577637702
0.393868221508231,0.583867240264993,0.752299526082537,0.768572066135981,0.673743969239218,0.569501402749156,0.343898679341636,0.564158879744279
0.765320402194892,0.569259318315351,0.785094645158132,0.688692127871875,0.633289190551313,0.914408915584802,0.270928447910957,0.606890239796337
0.641195755829506,0.707379920060879,0.765251810003735,0.61266034332797,0.598878555292111,0.846102035345021,0.226914037391546,0.597395625667066
