"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","grev_a","oexp_a","gdem_y_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","Govt. rev., % of GDP","Other govt. exp., % to GDP","","","",""
"2005Y",,,,,,,,,,,,,,,,,21.9439480809092551,,,
"2006Y",20.6224577956647934,20.1389485862780013,7.3453359193320011,24.4283764697144186,23.8092484057877698,14.2334196421659307,8.3200076359219821,6.0425714137265985,,-2.0328749366679091,-3.4996913866404817,-0.1840586451815192,9.4675734122383783,0.2277328849225229,11.7280658489076721,2.6823803898169500,19.5104901932117194,,,
"2007Y",7.9205431981669570,3.0183044598752353,11.6540345543662198,22.2055592785521512,44.9795467743114941,13.3348075416006111,7.6644102168759218,9.0988868200336981,11.8307330564685174,-0.8886382806835229,-0.9020133410120152,-2.8743738150258409,10.6551349974620297,1.9629649316132292,11.3651768563556139,2.7133302041293064,20.1098818196492850,,,
"2008Y",11.2099450524097755,7.9456396030986305,6.7700399655318790,43.4532373938257308,-11.8633936494119858,-3.0708920054448186,22.0998795357822786,15.3648063856079276,17.7028285739616464,1.7891698220215346,0.1449393021762475,-4.0803984228943868,10.3838574444386200,0.1489834518968385,13.3287940310718600,5.5162714810077498,19.3179038761547588,,,
"2009Y",6.3659927847341322,9.9037982522574985,9.5191151592128271,4.1222998133711997,-2.7255221783517563,18.4615614563204815,5.6972132347925708,10.6754107781892849,3.5183969854620400,2.7888111143685563,3.8405769167991615,-7.5071913625108131,11.3686285342687654,0.9731422352814685,11.7785409914801527,4.2894770026583569,19.7651750640231931,,,
"2010Y",7.2429662547607805,5.5654848095321086,12.8553732723846146,4.0194540743195617,8.5249596611208673,2.3450289751541291,0.1349749725645353,2.3380568762460356,1.8644303384766587,3.9585162375695120,2.7262460411329315,4.1609351448609040,12.4543311119518982,0.2463461844533472,12.0672518648085205,4.3970658233517375,20.7671931661704114,,,
"2011Y",7.9217506545432563,8.9566992301468922,10.3094161781313041,2.8041618789397198,23.6995690792249079,17.9278942077757542,7.7848282178304373,5.6643987231437407,7.0592767069086335,1.6799300465285114,2.8278938625731378,2.5688486862200968,12.1388481817612650,1.9219296992277048,13.1301995869485335,4.6194047641254130,21.2087742937212305,,,
"2012Y",8.6770239191945429,6.5619537327990187,10.0853532657240557,38.2126900999190013,9.0998128575818846,18.7664682559902936,4.5594309314935373,6.3181091177724795,3.8757001424694089,4.3111749789756431,2.4604014521422073,-0.2379069883117531,9.6553815751934895,2.2016363961924030,13.8940329844199173,3.0484204346963546,21.2137475947932579,,,
"2013Y",4.7813790090598864,4.2566810715264722,2.2293409324184061,28.6198103642757111,19.4282734138161501,9.1895968598631796,4.3967097413743090,4.2250359537174589,3.6773073739363209,5.9215608451716122,5.3328412723296452,1.1757297479284681,8.5622594082934338,0.2234544310397407,15.9380786921043018,5.8806244882325514,19.8893037284171754,,,
"2014Y",6.1729945783602318,6.4618993333908072,36.2386590841221903,-12.3370551064019729,7.8913906694408027,15.1544572268700364,1.0138521854842679,1.7943185479427193,2.5148054578666184,3.8456143416532029,5.4232329059466338,5.0002436243530646,13.1931675487810001,5.7483910229554791,16.0504568383365722,4.6802860834441642,24.6528577668979914,27.7600888786810351,21.7511415905718231,6.0089472881092130
"2015Y",8.8134647391779737,12.0541421302841272,7.0784221371641109,27.1354777922095316,6.5073949398445059,22.9818936597204164,4.0207406376234331,2.5073043982776149,2.1895631172434076,7.2266725059368753,5.6399518176532055,-5.0209947524434178,10.6784973534542846,4.1799028275431871,17.5877530473476540,4.1588184425088786,24.1744134449924246,32.0274467424199969,25.0967021180378822,6.9307446243821147
"2016Y",6.0458784049910683,4.2892156255152507,-2.8283018126006638,29.8552748999408095,12.7392206143782154,7.5843112357196070,7.0441408486196906,5.7152498856952114,7.5649621616177729,10.0009452781722104,9.4129385035629021,0.9183059747227880,8.4744076754076527,4.1844883625513045,17.9072545954592250,4.5661241281317952,22.1473080618409277,36.5719060407336300,29.4502715635644812,7.1216344771691507
"2017Y",3.8801356384049548,-0.8082262475117403,5.5654600625850819,-5.5184617814297070,42.5296064255049089,5.7789363233230446,2.2581702947545494,4.8981598760031986,4.2319115330710675,3.3041588141644382,5.4505653641431699,2.5259297281336650,9.1043289531416765,5.1125570539823855,17.8837295882776104,4.8300915048069459,22.4568994991950390,43.5329945064609944,34.7481987039980709,8.7847958024629200
"2018Y",8.4940568969167138,9.6534204393026037,12.7145296615046917,-6.5527033118936053,10.9932011671562009,7.9908287943892731,0.3209992924467997,1.3652420036561921,-1.8385767847342829,3.8466447262147483,3.5597146719132269,8.1507848435521026,9.4416517551529182,4.5925906618632713,19.0049948539656093,5.3342162492144585,23.3115839578933546,45.6993483733162762,36.6739388420532180,9.0254095312630618
"2019Y",9.4607615096308209,2.0011493475884699,15.8809173343669734,42.5354153527525298,19.5642191650132737,17.8301035720560037,6.1094590506797886,2.4316717998586732,5.7201848422293233,4.9156368490080240,4.5241704747566018,0.7121956051431866,12.1317401152633284,7.9721987050774032,19.0265809986205774,6.7110844154615101,24.5407670009617753,50.8717509491716058,40.4956295803924888,10.3761213687791063
"2020Y",-3.2471747953396530,1.2157658252603447,9.7135320743413338,-25.2150250042713893,-8.5929559312210024,-2.5344463774735004,5.0818346498258080,7.7265116160541716,5.2483723894132730,5.4168116046582071,4.8778611493326451,-1.1190079641830017,15.3025168005715884,10.3063596843831213,18.9446393988971344,6.6701724901846360,27.6592873012080673,67.2415323759899621,53.2916669359982933,13.9498654399916617
"2021Y",11.1544424635123463,6.1081403341965554,12.0440285158191180,43.9752294923281042,7.6340029141816146,4.7772260231924655,1.1071958630728886,0.8193943738860625,3.5345099618080251,3.9395715244606748,4.7881671059098032,9.1024527568298303,15.1063612808750136,9.4593521929035305,19.0083912790367471,6.3546016083495118,27.8614497562422088,68.9637148850060413,53.8420385079887751,15.1216763770172697
"2022Y",8.1886067618963665,12.4262894436304094,-0.9445558139395445,9.8840477016553763,30.0967359149007407,18.0444530186888272,21.0011465001808517,13.8514958400499388,19.4702774798324114,5.2542373924591317,4.2967214509703915,-5.8812073066399826,12.7733987805493072,6.8547157011342614,18.2494027293544434,5.8768113138388909,25.2857584600617784,64.0974877577904465,47.9993524180261346,16.0981353397643190
"2023Y",8.2469699953627256,5.2322808506309961,10.5123447600344981,-17.1747317186975081,25.0964209434999361,3.1360059022206599,8.8048922301232864,14.2585738114851566,6.5034362323652743,17.7427923981681204,13.0243184382605861,2.7869664953115247,10.5756660763118084,6.0538396717282188,17.5110304150186735,2.6441836553913109,25.5879029412717856,68.8402611956392860,55.7368469288781796,13.1034142667611153
"2024Y",8.9122033504076583,9.9404725874329998,0.3606756975887073,24.5596081307942171,8.6969341810483662,6.8426295567380500,5.0830392377768447,4.7699805117528484,2.1963055348978600,10.0863659555964631,13.3743774921741618,11.6576750229802499,11.7439888170427782,7.5142998010580637,17.8905391481942786,6.4345517280151423,23.3428573046679517,75.8509161965707506,62.5690423610637012,13.2818738355070529
"2025Y",7.4490158803824755,8.1428213760318116,-8.1654274555640889,15.2009188836357758,12.9212737448896995,3.9427079773847709,6.4809437136335930,6.8089360256485705,10.2766081803842617,6.1122962554477738,8.2451888431490090,4.2753932574674671,7.7561945475254355,5.5304805257505940,16.9450645892641205,5.0791822746867421,19.9422140594110395,75.7870732129513982,64.1127132018914381,11.6743600110599584
"2026Y",7.7739378104211667,4.8457988045014950,7.2507516074573353,22.0125708402577729,12.3034485685341508,7.8573202381677376,2.9744954230327210,4.6405245527363235,3.1487879893361335,1.8964995627071204,3.0845205989042945,3.9437530664728015,8.0999999999999996,5.6505519888314257,17.9750000000000014,6.2500000000000000,19.8243180359989069,74.1969745892003232,62.7725422672579043,11.4244323219424206
"2027Y",6.7463020087177838,5.3859990475039794,7.6954384214821410,3.6750473370737033,11.9648558867352364,6.1528443332201839,1.8504284963965603,1.8492313252611261,2.3816791890045566,0.3445844233837931,0.9524926403436531,1.5838920874094136,6.8750000000000000,4.3781594993019635,18.6750000000000007,5.5499999999999998,20.0078112004680868,72.5917644146228440,61.4176941110585659,11.1740703035642799
"2028Y",10.6828035697480992,8.9944686040328783,28.3172669841487625,1.1220610311899080,9.4269427639484391,13.1693514742115454,3.9595444305503946,3.1053007195333180,4.9449132270537755,-0.1614153872557580,-0.1336484625312160,-0.8906012082604491,8.7248233455136752,6.2250208142200485,19.9896995048198818,5.5265186144917564,23.2133587408564281,69.1806709719229076,58.5336725826645647,10.6469983892583411
"2029Y",9.5590333439545816,9.9959942914225870,18.0046294212124458,0.0263209287686443,7.7570324877057466,11.0469581048504217,5.0347044142125412,4.7675222457228656,5.6776548249273961,0.9257459924529172,0.4478370944603682,-2.2046907595994227,9.9390929736171536,7.4391053154113003,20.5123199537001923,5.5076546095290642,24.9490410469420247,67.6692260677369575,57.2561254883140478,10.4131005794229115
